località;coordinate;Latitudine ;Longitudine;Indirizzo;Nome
Altavilla Irpina (AV);"41°00'16.0""N 14°46'36.9""E";41.004444444444445;14.776916666666667;Viale S. Francesco d'Assisi, 71;Esna Tour di Cola Valentina
Ariano Irpino (AV);"41°08'22.6""N 15°04'56.0""E";41.13961111111111;15.082222222222223;Via Cardito, 52/4;Partiamo Per Il Mondo 
Avellino;"40°55'00.1""N 14°47’25.5""";40.916694444444445;14.790416666666667;Via Tuoro Cappuccini, 13;D'Ascoli Tours
Avellino;"40°54'51.1""N 14°47'32.9""E";40.91419444444445;14.792472222222223;Via Verdi, 9 ;Roulette Agency
Avellino;"40°55'09.0""N 14°47'15.8""E";40.91916666666667;14.787722222222222;Via C. De Balzo;GZ Group (Bar Excelsior)
Avellino;"40°55'06.2""N 14°47'30.8""E";40.91838888888889;14.79188888888889;Piazza Libertà, 56 ;Irpiniatour S.r.l.
Avellino;"40°54'51.9""N 14°47'16.5""E";40.91441666666667;14.787916666666666;Via Piave, 170;Bieffe S.r.l
Chieti Scalo;"42°21'26.7""N 14°08'19.3""E";42.357416666666666;14.138694444444445;P.le Marconi staz. FF.SS.;Edicola Iervese
Grottaminarda (AV);"41°04'11.8""N 15°03'34.7""E";41.074083333333334;15.05963888888889;De Prizio Travel S.r.l.;Via Pietro Nenni, 17
L’Aquila;"42°21'37.5""N 13°22'34.5""E";41.360416666666666;13.37625;S.S. 17 Ovest, 6;Cartoleria Fantasy
Mirabella Eclano (AV);"41°02'46.9""N 15°00'14.8""E";41.04636111111111;15.009483333333334;Via Sant'Angelo, 124;DS Service
Montella (AV);"40°50'31.6""N 15°01'22.5""E";40.84211111111111;15.022916666666667;Via Dietro Corte, 12;Mille Meraviglie
Pescara;"42°28'14.3""N 14°12'20.0""E";42.47063888888889;14.205555555555556;Piazza Della Repubblica;Sistema S.p.A
Roma;"41°54'24.6""N 12°27'37.8""E";41.90683333333333;12.4605;Via Guido Mazzoni, 12/14;Piccarozzi S.r.l.
Sant’ Angelo dei Lombardi (AV);"40°55'37.8""N 15°10'51.6""E";40.927166666666665;15.181;Piazza Nobile, 1 ;Bellusci Gerarda
Solofra (AV);"40°49'55.4""N 14°50'53.4""E";40.832055555555556;14.848166666666668;Via G. Maffei, 9;Tramp Viaggi S.a.s
Sora (FR);"41°43'01.8""N 13°37'02.6""E";41.717166666666664;13.61738888888889;Via XX Settembre, 52 ;eASTERIX Viaggi 
Arzano Di Puglia (FG);"41°07'20.0""N 15°17'03.2""E";41.12222222222222;15.284222222222223;Via Statale, 91 Bis ;Del Gaudio Rocco
Benevento;"41°08'08.5""N 14°46'26.9""E";41.13569444444445;14.774138888888888;Viale dei Rettori ;Liguori Mario Snak Bar Terminal
Campobasso;"41°33'23.4""N 14°39'50.6""E";41.5565;14.664055555555555;Piazza Padre Pio;D'Elisiis Angelo
Fisciano (SA);"40°46'48.4""N 14°46'45.5""E";40.78011111111111;14.779305555555556;Strada Prov. Ponte Don Melillo;Galdi Eugenia
Fisciano Terminal Unisa;"40°46'25.9""N 14°47'33.4""E";40.77386111111111;14.79261111111111;Via Monfalcone, 5;Pot S.r.l. 
Foggia;"41°27'54.4""N 15°33'17.2""E";41.46511111111111;15.554777777777778;Stazione F.S.;Ricagni Veronica e Valeria Libreria
Foggia;"41°27'51.6""N 15°33'12.7""E";41.464333333333336;15.553527777777777;Viale XXIV Maggio, 81 ;Kiwi Bar 
Salerno;"40°40'31.0""N 14°46'20.3""E";40.67527777777778;14.772305555555555;Piazza V. Veneto, 19/20/21 ;Il Globo Celeste Di Giemme
Salerno;"40°40'27.8""N 14°46'37.0""E";40.67438888888889;14.776944444444444;Via D. Castelluccio, 17;Tabacchi di Labadia Salvatore
